Gen;MaxFit
0;0.000000
1;484.720001
2;485.540009
3;496.649994
4;499.977509
5;499.977509
6;499.977509
7;499.977509
8;499.977509
9;499.977509
10;499.977509
11;499.977509
12;499.977509
13;499.977509
14;499.977509
15;499.977509
16;499.977509
17;499.977509
18;499.977509
19;499.977509
20;499.977509
21;499.977509
22;499.977509
23;499.977509
24;499.977509
25;499.977509
26;499.977509
27;499.977509
28;499.977509
29;499.977509
30;499.977509
31;499.977509
32;499.977509
33;499.977509
34;499.977509
35;499.977509
36;499.977509
37;499.977509
38;499.977509
39;499.977509
40;499.977509
41;499.977509
42;499.977509
43;499.977509
44;499.977509
45;499.977509
46;499.977509
47;499.977509
48;499.977509
49;499.977509
50;499.977509
51;499.977509
52;499.977509
53;499.977509
54;499.977509
55;499.977509
56;499.977509
57;499.977509
58;499.977509
59;499.977509
60;499.977509
61;499.977509
62;499.977509
63;499.977509
64;499.977509
65;499.977509
66;499.977509
67;499.977509
68;499.977509
69;499.977509
70;499.977509
71;499.977509
72;499.977509
73;499.977509
74;499.977509
75;499.977509
76;499.977509
77;499.977509
78;499.977509
79;499.977509
80;499.977509
81;499.977509
82;499.977509
83;499.977509
84;499.977509
85;499.977509
86;499.977509
87;499.977509
88;499.977509
89;499.977509
90;499.977509
91;499.977509
92;499.977509
93;499.977509
94;499.977509
95;499.977509
96;499.977509
97;499.977509
98;499.977509
99;499.977509
100;499.977509
101;499.977509
102;499.977509
103;499.977509
104;499.977509
105;499.977509
106;499.977509
107;499.977509
108;499.977509
109;499.977509
110;499.977509
111;499.977509
112;499.977509
113;499.977509
114;499.977509
115;499.977509
116;499.977509
117;499.998047
118;499.998047
119;499.998047
120;499.998047
121;499.998047
122;499.998047
123;499.998047
124;499.998047
125;499.998047
126;499.998047
127;499.998047
128;499.998047
129;499.998047
130;499.998047
131;499.998047
132;499.998047
133;499.998047
134;499.998047
135;499.998047
136;499.998047
137;499.998047
138;499.998047
139;499.998047
140;499.998047
141;499.998047
142;499.998047
143;499.998047
144;499.998047
145;499.998047
146;499.998047
147;499.998047
148;499.998047
149;499.998047
150;499.998047
151;499.998047
152;499.998047
153;499.998047
154;499.998047
155;499.998047
156;499.998047
157;499.998047
158;499.998047
159;499.998047
160;499.998047
161;499.998047
162;499.998047
163;499.998047
164;499.998047
165;499.998047
166;499.998047
167;499.998047
168;499.998047
169;499.998047
170;499.998047
171;499.998047
172;499.998047
173;499.998047
174;499.998047
175;499.998047
176;499.998047
177;499.998047
178;499.998047
179;499.998047
180;499.998047
181;499.998047
182;499.998047
183;499.998047
184;499.998047
185;499.998047
186;499.998047
187;499.998047
188;499.998047
189;499.998047
190;499.998047
191;499.998047
192;499.998047
193;499.998047
194;499.998047
195;499.998047
196;499.998047
197;499.998047
198;499.998047
199;499.998047
200;499.998047
201;499.998047
202;499.998047
203;499.998047
204;499.998047
205;499.998047
206;499.998047
207;499.998047
208;499.998047
209;499.998047
210;499.998047
211;499.998047
212;499.998047
213;499.998047
214;499.998047
215;499.999756
